InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,TotalAmount
545530,16045,POPART WOODEN PENCILS ASST,100,2011-03-03 13:45:00,0.12,17416,United Kingdom,12.0
545530,22274,FELTCRAFT DOLL EMILY,6,2011-03-03 13:45:00,2.95,17416,United Kingdom,17.700000000000003
545530,22554,PLASTERS IN TIN WOODLAND ANIMALS,12,2011-03-03 13:45:00,1.65,17416,United Kingdom,19.8
545543,22960,JAM MAKING SET WITH JARS,6,2011-03-03 14:43:00,4.25,13476,United Kingdom,25.5
545545,20996,JAZZ HEARTS ADDRESS BOOK,2,2011-03-03 15:02:00,0.42,17841,United Kingdom,0.84
545545,22726,ALARM CLOCK BAKELIKE GREEN,2,2011-03-03 15:02:00,3.75,17841,United Kingdom,7.5
545545,22595,GINGHAM HEART DECORATION,2,2011-03-03 15:02:00,0.85,17841,United Kingdom,1.7
545555,21621,VINTAGE UNION JACK BUNTING,3,2011-03-03 15:17:00,8.5,17757,United Kingdom,25.5
545559,21929,JUMBO BAG PINK VINTAGE PAISLEY,2,2011-03-03 15:31:00,1.95,15005,United Kingdom,3.9
545559,47591D,PINK FAIRY CAKE CHILDRENS APRON,4,2011-03-03 15:31:00,1.95,15005,United Kingdom,7.8
545571,21428,SET3 BOOK BOX GREEN GINGHAM FLOWER ,4,2011-03-03 16:34:00,4.25,17700,United Kingdom,17.0
545577,85049E,SCANDINAVIAN REDS RIBBONS,2,2011-03-03 19:18:00,1.25,14702,United Kingdom,2.5
545582,22367,CHILDRENS APRON SPACEBOY DESIGN,50,2011-03-04 09:05:00,1.65,13694,United Kingdom,82.5
545582,21210,SET OF 72 RETROSPOT PAPER  DOILIES,96,2011-03-04 09:05:00,1.25,13694,United Kingdom,120.0
545582,20676,RED RETROSPOT BOWL,72,2011-03-04 09:05:00,1.06,13694,United Kingdom,76.32000000000001
545587,21166,COOK WITH WINE METAL SIGN ,2,2011-03-04 09:46:00,2.08,14796,United Kingdom,4.16
545589,84755,COLOUR GLASS T-LIGHT HOLDER HANGING,16,2011-03-04 10:21:00,0.65,17001,United Kingdom,10.4
545590,22620,4 TRADITIONAL SPINNING TOPS,12,2011-03-04 10:24:00,1.25,15220,United Kingdom,15.0
545592,22993,SET OF 4 PANTRY JELLY MOULDS,12,2011-03-04 10:30:00,1.25,17581,United Kingdom,15.0
545601,22722,SET OF 6 SPICE TINS PANTRY DESIGN,4,2011-03-04 11:49:00,3.95,15827,United Kingdom,15.8
545630,22667,RECIPE BOX RETROSPOT ,6,2011-03-04 12:06:00,2.95,14466,United Kingdom,17.700000000000003
545634,85053,FRENCH ENAMEL CANDLEHOLDER,6,2011-03-04 12:12:00,2.1,14911,EIRE,12.6
545635,23179,CLOCK MAGNET MUM'S KITCHEN,6,2011-03-04 12:14:00,2.89,13557,United Kingdom,17.34
545636,22854,CREAM SWEETHEART EGG HOLDER,4,2011-03-04 12:15:00,4.95,16449,United Kingdom,19.8
545638,22723,SET OF 6 HERB TINS SKETCHBOOK,1,2011-03-04 12:26:00,3.95,13113,United Kingdom,3.95
545649,22267,EASTER DECORATION EGG BUNNY ,2,2011-03-04 13:14:00,1.25,14995,United Kingdom,2.5
545653,22088,PAPER BUNTING COLOURED LACE,2,2011-03-04 13:39:00,2.95,15311,United Kingdom,5.9
545658,21222,SET/4 BADGES BEETLES,15,2011-03-04 14:13:00,1.25,14670,United Kingdom,18.75
545661,22196,SMALL HEART MEASURING SPOONS,12,2011-03-04 14:41:00,0.85,15358,United Kingdom,10.2
545661,22436,12 COLOURED PARTY BALLOONS,20,2011-03-04 14:41:00,0.65,15358,United Kingdom,13.0
545664,21624,VINTAGE UNION JACK DOORSTOP,3,2011-03-04 15:15:00,5.95,12584,Italy,17.85
545669,22835,HOT WATER BOTTLE I AM SO POORLY,2,2011-03-06 10:05:00,4.65,17243,United Kingdom,9.3
545669,21613,S/12 VANILLA  BOTANICAL T-LIGHTS,12,2011-03-06 10:05:00,2.95,17243,United Kingdom,35.400000000000006
545676,21918,SET 12 KIDS COLOUR  CHALK STICKS,24,2011-03-06 10:26:00,0.42,15034,United Kingdom,10.08
545681,22625,RED KITCHEN SCALES,1,2011-03-06 11:28:00,8.5,16923,United Kingdom,8.5
545683,22776,SWEETHEART CAKESTAND 3 TIER,2,2011-03-06 11:50:00,9.95,14903,United Kingdom,19.9
545683,22168,ORGANISER WOOD ANTIQUE WHITE ,2,2011-03-06 11:50:00,8.5,14903,United Kingdom,17.0
545683,22558,CLOTHES PEGS RETROSPOT PACK 24 ,2,2011-03-06 11:50:00,1.49,14903,United Kingdom,2.98
545685,85203,HANGING WOOD AND FELT BUTTERFLY ,3,2011-03-06 11:55:00,0.42,14499,United Kingdom,1.26
545687,22905,CALENDAR IN SEASON DESIGN,4,2011-03-06 12:20:00,2.95,17769,United Kingdom,11.8
545688,22470,HEART OF WICKER LARGE,3,2011-03-06 12:42:00,2.95,16033,United Kingdom,8.850000000000001
545688,22192,BLUE DINER WALL CLOCK,1,2011-03-06 12:42:00,8.5,16033,United Kingdom,8.5
545688,48111,DOORMAT 3 SMILEY CATS,3,2011-03-06 12:42:00,7.95,16033,United Kingdom,23.85
545690,15056N,EDWARDIAN PARASOL NATURAL,1,2011-03-06 12:46:00,5.95,13263,United Kingdom,5.95
545690,84375,SET OF 20 KIDS COOKIE CUTTERS,1,2011-03-06 12:46:00,2.1,13263,United Kingdom,2.1
545690,22364,GLASS JAR DIGESTIVE BISCUITS,1,2011-03-06 12:46:00,2.95,13263,United Kingdom,2.95
545696,82494L,WOODEN FRAME ANTIQUE WHITE ,4,2011-03-06 14:21:00,2.95,15696,United Kingdom,11.8
545697,82482,WOODEN PICTURE FRAME WHITE FINISH,1,2011-03-06 14:38:00,2.55,14504,United Kingdom,2.55
545697,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,1,2011-03-06 14:38:00,4.95,14504,United Kingdom,4.95
545701,47566,PARTY BUNTING,6,2011-03-06 15:17:00,4.95,17107,United Kingdom,29.700000000000003
545702,22219,LOVEBIRD HANGING DECORATION WHITE ,2,2011-03-06 15:21:00,0.85,14247,United Kingdom,1.7
545704,21106,CREAM SLICE FLANNEL CHOCOLATE SPOT ,6,2011-03-07 08:30:00,2.95,16638,United Kingdom,17.700000000000003
545706,82482,WOODEN PICTURE FRAME WHITE FINISH,6,2011-03-07 09:10:00,2.55,12712,Germany,15.3
545711,72760B,VINTAGE CREAM 3 BASKET CAKE STAND,2,2011-03-07 09:52:00,9.95,16136,United Kingdom,19.9
545719,22918,HERB MARKER PARSLEY,12,2011-03-07 10:28:00,0.65,13344,United Kingdom,7.800000000000001
545719,22828,REGENCY MIRROR WITH SHUTTERS,2,2011-03-07 10:28:00,145.0,13344,United Kingdom,290.0
545721,22771,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,12,2011-03-07 10:52:00,1.25,15039,United Kingdom,15.0
545721,22067,CHOC TRUFFLE GOLD TRINKET POT ,4,2011-03-07 10:52:00,1.65,15039,United Kingdom,6.6
545721,21931,JUMBO STORAGE BAG SUKI,10,2011-03-07 10:52:00,1.95,15039,United Kingdom,19.5
545748,22417,PACK OF 60 SPACEBOY CAKE CASES,120,2011-03-07 11:52:00,0.42,17381,United Kingdom,50.4
545797,21034,REX CASH+CARRY JUMBO SHOPPER,3,2011-03-07 12:17:00,0.95,16225,United Kingdom,2.85
545797,82552,WASHROOM METAL SIGN,3,2011-03-07 12:17:00,1.45,16225,United Kingdom,4.35
545819,21174,POTTERING IN THE SHED METAL SIGN,1,2011-03-07 12:31:00,2.08,16356,United Kingdom,2.08
545819,82599,FANNY'S REST STOPMETAL SIGN,3,2011-03-07 12:31:00,2.1,16356,United Kingdom,6.300000000000001
545821,84988,SET OF 72 PINK HEART PAPER DOILIES,12,2011-03-07 12:50:00,1.45,13001,United Kingdom,17.4
545830,21907,I'M ON HOLIDAY METAL SIGN,2,2011-03-07 13:10:00,2.1,17634,United Kingdom,4.2
545838,21738,COSY SLIPPER SHOES SMALL  RED ,1,2011-03-07 13:33:00,2.95,14606,United Kingdom,2.95
545842,22384,LUNCH BAG PINK POLKADOT,10,2011-03-07 13:37:00,1.65,15498,United Kingdom,16.5
545845,22999,TRAVEL CARD WALLET RETRO PETALS,1,2011-03-07 13:38:00,0.42,12754,Japan,0.42
545845,23004,TRAVEL CARD WALLET PANTRY,1,2011-03-07 13:38:00,0.42,12754,Japan,0.42
545859,22051,BLUE SCANDINAVIAN PAISLEY WRAP,25,2011-03-07 14:10:00,0.42,15498,United Kingdom,10.5
545872,20728,LUNCH BAG CARS BLUE,2,2011-03-07 14:51:00,1.65,15752,United Kingdom,3.3
545872,20684,STRAWBERRY DREAM CHILDS UMBRELLA,1,2011-03-07 14:51:00,3.25,15752,United Kingdom,3.25
545899,84593,CROCHET ROSE DES CLOTHES HANGER,3,2011-03-07 17:30:00,2.95,17817,United Kingdom,8.850000000000001
545901,16248B,BLUE HOLE PUNCH,2,2011-03-07 17:52:00,1.25,15834,United Kingdom,2.5
545901,22375,AIRLINE BAG VINTAGE JET SET BROWN,1,2011-03-07 17:52:00,4.25,15834,United Kingdom,4.25
545901,21658,GLASS  BEURRE DISH,1,2011-03-07 17:52:00,3.95,15834,United Kingdom,3.95
545906,22980,PANTRY SCRUBBING BRUSH,12,2011-03-08 09:23:00,1.65,15764,United Kingdom,19.8
545906,21559,STRAWBERRY LUNCH BOX WITH CUTLERY,6,2011-03-08 09:23:00,2.55,15764,United Kingdom,15.3
545906,22630,DOLLY GIRL LUNCH BOX,12,2011-03-08 09:23:00,1.95,15764,United Kingdom,23.4
545906,21715,GIRLS VINTAGE TIN SEASIDE BUCKET,8,2011-03-08 09:23:00,2.55,15764,United Kingdom,20.4
545906,22993,SET OF 4 PANTRY JELLY MOULDS,12,2011-03-08 09:23:00,1.25,15764,United Kingdom,15.0
545907,22561,WOODEN SCHOOL COLOURING SET,12,2011-03-08 09:24:00,1.65,15806,United Kingdom,19.8
545914,20685,DOORMAT RED RETROSPOT,30,2011-03-08 11:39:00,6.75,13340,United Kingdom,202.5
545914,22722,SET OF 6 SPICE TINS PANTRY DESIGN,4,2011-03-08 11:39:00,3.95,13340,United Kingdom,15.8
545914,22671,FRENCH LAUNDRY SIGN BLUE METAL,24,2011-03-08 11:39:00,1.65,13340,United Kingdom,39.6
545918,22919,HERB MARKER MINT,24,2011-03-08 11:55:00,0.65,16917,United Kingdom,15.6
545933,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,3,2011-03-08 12:04:00,4.95,13908,United Kingdom,14.85
545933,21039,RED RETROSPOT SHOPPING BAG,6,2011-03-08 12:04:00,2.55,13908,United Kingdom,15.3
545978,22507,MEMO BOARD RETROSPOT  DESIGN,2,2011-03-08 12:19:00,4.95,13975,United Kingdom,9.9
545978,22246,MAGIC GARDEN FELT GARLAND ,6,2011-03-08 12:19:00,1.95,13975,United Kingdom,11.7
545978,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,3,2011-03-08 12:19:00,0.85,13975,United Kingdom,2.55
545980,84531A,PINK KNITTED EGG COSY,3,2011-03-08 12:49:00,0.39,14730,United Kingdom,1.17
545980,21094,SET/6 RED SPOTTY PAPER PLATES,3,2011-03-08 12:49:00,0.85,14730,United Kingdom,2.55
545980,47590B,PINK HAPPY BIRTHDAY BUNTING,2,2011-03-08 12:49:00,5.45,14730,United Kingdom,10.9
545980,21929,JUMBO BAG PINK VINTAGE PAISLEY,2,2011-03-08 12:49:00,1.95,14730,United Kingdom,3.9
545995,22808,SET OF 6 T-LIGHTS EASTER CHICKS,4,2011-03-08 13:54:00,2.95,15023,United Kingdom,11.8
545995,21124,SET/10 BLUE POLKADOT PARTY CANDLES,4,2011-03-08 13:54:00,1.25,15023,United Kingdom,5.0
545995,48194,DOORMAT HEARTS,2,2011-03-08 13:54:00,7.95,15023,United Kingdom,15.9
545996,22384,LUNCH BAG PINK POLKADOT,3,2011-03-08 14:12:00,1.65,14367,United Kingdom,4.949999999999999
545996,21213,PACK OF 72 SKULL CAKE CASES,24,2011-03-08 14:12:00,0.55,14367,United Kingdom,13.2
545998,22570,FELTCRAFT CUSHION RABBIT,12,2011-03-08 14:35:00,3.75,13373,United Kingdom,45.0
545998,84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,12,2011-03-08 14:35:00,1.25,13373,United Kingdom,15.0
545998,20970,PINK FLORAL FELTCRAFT SHOULDER BAG,4,2011-03-08 14:35:00,3.75,13373,United Kingdom,15.0
545998,22744,MAKE YOUR OWN MONSOON CARD KIT,12,2011-03-08 14:35:00,2.95,13373,United Kingdom,35.400000000000006
545998,22772,PINK DRAWER KNOB ACRYLIC EDWARDIAN,12,2011-03-08 14:35:00,1.25,13373,United Kingdom,15.0
545998,22842,BISCUIT TIN VINTAGE RED,2,2011-03-08 14:35:00,6.75,13373,United Kingdom,13.5
545999,22964,3 PIECE SPACEBOY COOKIE CUTTER SET,6,2011-03-08 14:44:00,2.1,13089,United Kingdom,12.6
546005,22138,BAKING SET 9 PIECE RETROSPOT ,3,2011-03-08 15:17:00,4.95,14426,United Kingdom,14.85
546009,22375,AIRLINE BAG VINTAGE JET SET BROWN,6,2011-03-08 15:45:00,4.25,16426,United Kingdom,25.5
546013,21898,POTTING SHED ROSE CANDLE,1,2011-03-08 16:38:00,2.95,16495,United Kingdom,2.95
546015,82482,WOODEN PICTURE FRAME WHITE FINISH,6,2011-03-08 16:48:00,2.55,14336,United Kingdom,15.3
546028,48194,DOORMAT HEARTS,2,2011-03-09 08:33:00,7.95,17049,United Kingdom,15.9
546062,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,2011-03-09 10:51:00,2.95,16221,United Kingdom,5.9
546089,21479,WHITE SKULL HOT WATER BOTTLE ,3,2011-03-09 11:44:00,3.75,17864,United Kingdom,11.25
546091,22149,FELTCRAFT 6 FLOWER FRIENDS,6,2011-03-09 11:53:00,2.1,14936,Channel Islands,12.6
546091,22639,SET OF 4 NAPKIN CHARMS HEARTS,6,2011-03-09 11:53:00,2.55,14936,Channel Islands,15.3
546091,21977,PACK OF 60 PINK PAISLEY CAKE CASES,24,2011-03-09 11:53:00,0.55,14936,Channel Islands,13.2
546096,22973,CHILDREN'S CIRCUS PARADE MUG,12,2011-03-09 11:59:00,1.65,15502,United Kingdom,19.8
546096,22695,WICKER WREATH SMALL,12,2011-03-09 11:59:00,1.45,15502,United Kingdom,17.4
546096,22197,SMALL POPCORN HOLDER,100,2011-03-09 11:59:00,0.72,15502,United Kingdom,72.0
546096,22851,SET 20 NAPKINS FAIRY CAKES DESIGN ,24,2011-03-09 11:59:00,0.85,15502,United Kingdom,20.4
546100,22966,GINGERBREAD MAN COOKIE CUTTER,12,2011-03-09 12:04:00,1.25,16572,United Kingdom,15.0
546101,84596E,SMALL LICORICE DES PINK BOWL,8,2011-03-09 12:12:00,0.42,14803,United Kingdom,3.36
546105,22991,GIRAFFE WOODEN RULER,5,2011-03-09 12:21:00,1.95,14662,United Kingdom,9.75
546107,20675,BLUE POLKADOT BOWL,4,2011-03-09 12:33:00,1.25,17238,United Kingdom,5.0
546108,22139,RETROSPOT TEA SET CERAMIC 11 PC ,4,2011-03-09 12:35:00,4.95,15529,United Kingdom,19.8
546108,20975,12 PENCILS SMALL TUBE RED RETROSPOT,2,2011-03-09 12:35:00,0.65,15529,United Kingdom,1.3
546110,23052,RECYCLED ACAPULCO MAT TURQUOISE,6,2011-03-09 12:38:00,8.25,17770,United Kingdom,49.5
546113,21167,WHITE SAGE INCENSE,25,2011-03-09 13:18:00,0.21,14344,United Kingdom,5.25
546113,22698,PINK REGENCY TEACUP AND SAUCER,1,2011-03-09 13:18:00,2.95,14344,United Kingdom,2.95
546116,22513,DOORSTOP FOOTBALL DESIGN,4,2011-03-09 13:53:00,3.75,15367,United Kingdom,15.0
546116,22966,GINGERBREAD MAN COOKIE CUTTER,12,2011-03-09 13:53:00,1.25,15367,United Kingdom,15.0
546117,21985,PACK OF 12 HEARTS DESIGN TISSUES ,12,2011-03-09 13:56:00,0.29,16771,United Kingdom,3.4799999999999995
546118,21523,DOORMAT FANCY FONT HOME SWEET HOME,10,2011-03-09 14:14:00,6.75,13078,United Kingdom,67.5
546120,22995,TRAVEL CARD WALLET SUKI,24,2011-03-09 14:23:00,0.42,16945,United Kingdom,10.08
546122,82599,FANNY'S REST STOPMETAL SIGN,1,2011-03-09 14:32:00,2.1,15581,United Kingdom,2.1
546133,23177,TREASURE ISLAND BOOK BOX,8,2011-03-09 15:20:00,2.25,14291,United Kingdom,18.0
546135,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,6,2011-03-09 15:47:00,4.95,12388,Australia,29.700000000000003
546155,22779,WOODEN OWLS LIGHT GARLAND ,4,2011-03-10 08:29:00,4.25,15632,United Kingdom,17.0
546156,22367,CHILDRENS APRON SPACEBOY DESIGN,8,2011-03-10 08:31:00,1.95,14297,United Kingdom,15.6
546159,85194L,HANGING SPRING FLOWER EGG LARGE,12,2011-03-10 09:41:00,0.85,16471,United Kingdom,10.2
546160,22759,SET OF 3 NOTEBOOKS IN PARCEL,96,2011-03-10 09:49:00,1.45,15838,United Kingdom,139.2
546190,22980,PANTRY SCRUBBING BRUSH,24,2011-03-10 10:57:00,1.65,13102,United Kingdom,39.6
546223,85187,S/12 MINI RABBIT EASTER,6,2011-03-10 12:22:00,1.65,14854,United Kingdom,9.9
546236,22273,FELTCRAFT DOLL MOLLY,6,2011-03-10 12:48:00,2.95,12370,Cyprus,17.700000000000003
546237,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,3,2011-03-10 12:50:00,4.95,16625,United Kingdom,14.85
546248,22382,LUNCH BAG SPACEBOY DESIGN ,10,2011-03-10 13:46:00,1.65,16477,United Kingdom,16.5
546248,47566,PARTY BUNTING,4,2011-03-10 13:46:00,4.95,16477,United Kingdom,19.8
546249,22196,SMALL HEART MEASURING SPOONS,3,2011-03-10 13:58:00,0.85,14606,United Kingdom,2.55
546250,85206A,CREAM FELT EASTER EGG BASKET,6,2011-03-10 14:14:00,1.65,14350,United Kingdom,9.9
546251,22537,MAGIC DRAWING SLATE DINOSAUR,48,2011-03-10 14:37:00,0.42,16553,United Kingdom,20.16
546252,20728,LUNCH BAG CARS BLUE,10,2011-03-10 14:42:00,1.65,14930,Channel Islands,16.5
546261,20996,JAZZ HEARTS ADDRESS BOOK,2,2011-03-10 15:01:00,0.42,17841,United Kingdom,0.84
546261,22967,SET 3 SONG BIRD PAPER EGGS ASSORTED,1,2011-03-10 15:01:00,2.95,17841,United Kingdom,2.95
546305,22663,JUMBO BAG DOLLY GIRL DESIGN,1,2011-03-10 16:16:00,1.95,14056,United Kingdom,1.95
546314,22031,BOTANICAL LAVENDER BIRTHDAY CARD,12,2011-03-10 19:05:00,0.42,16808,United Kingdom,5.04
546315,22969,HOMEMADE JAM SCENTED CANDLES,12,2011-03-11 08:31:00,1.45,16558,United Kingdom,17.4
546324,22966,GINGERBREAD MAN COOKIE CUTTER,12,2011-03-11 09:54:00,1.25,13265,United Kingdom,15.0
546365,21668,RED STRIPE CERAMIC DRAWER KNOB,24,2011-03-11 11:35:00,1.25,12520,Germany,30.0
546367,84879,ASSORTED COLOUR BIRD ORNAMENT,160,2011-03-11 11:38:00,1.45,15513,United Kingdom,232.0
546372,48116,DOORMAT MULTICOLOUR STRIPE,10,2011-03-11 11:47:00,6.75,13098,United Kingdom,67.5
546373,22554,PLASTERS IN TIN WOODLAND ANIMALS,24,2011-03-11 12:00:00,1.65,12583,France,39.6
546378,21078,SET/20 STRAWBERRY PAPER NAPKINS ,12,2011-03-11 12:17:00,0.85,14329,United Kingdom,10.2
546383,22241,GARLAND WOODEN HAPPY EASTER,12,2011-03-11 12:54:00,1.25,13654,United Kingdom,15.0
546383,21063,PARTY INVITES JAZZ HEARTS,12,2011-03-11 12:54:00,0.85,13654,United Kingdom,10.2
546384,85014A,BLACK/BLUE POLKADOT UMBRELLA,2,2011-03-11 13:03:00,5.95,15311,United Kingdom,11.9
546385,21175,GIN + TONIC DIET METAL SIGN,48,2011-03-11 13:13:00,2.08,16652,United Kingdom,99.84
546386,84978,HANGING HEART JAR T-LIGHT HOLDER,12,2011-03-11 13:31:00,1.25,14312,United Kingdom,15.0
546394,84991,60 TEATIME FAIRY CAKE CASES,24,2011-03-11 14:26:00,0.55,17164,United Kingdom,13.2
546394,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,3,2011-03-11 14:26:00,4.95,17164,United Kingdom,14.85
546397,85206A,CREAM FELT EASTER EGG BASKET,6,2011-03-11 14:37:00,1.65,12971,United Kingdom,9.9
546398,22960,JAM MAKING SET WITH JARS,12,2011-03-11 14:52:00,3.75,13043,United Kingdom,45.0
546418,21898,POTTING SHED ROSE CANDLE,2,2011-03-13 10:57:00,2.95,17315,United Kingdom,5.9
546420,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,2,2011-03-13 11:18:00,4.95,14810,United Kingdom,9.9
546423,84970S,HANGING HEART ZINC T-LIGHT HOLDER,3,2011-03-13 12:39:00,0.85,14502,United Kingdom,2.55
546423,22021,BLUE FELT EASTER EGG BASKET,1,2011-03-13 12:39:00,1.65,14502,United Kingdom,1.65
546423,22268,EASTER DECORATION SITTING BUNNY,2,2011-03-13 12:39:00,0.85,14502,United Kingdom,1.7
546424,22251,BIRDHOUSE DECORATION MAGIC GARDEN,2,2011-03-13 12:51:00,1.25,13956,United Kingdom,2.5
546425,85094,CANDY SPOT EGG WARMER RABBIT,11,2011-03-13 13:36:00,0.19,16983,United Kingdom,2.09
546426,21913,VINTAGE SEASIDE JIGSAW PUZZLES,2,2011-03-13 13:46:00,3.75,13708,United Kingdom,7.5
546427,20615,BLUE POLKADOT PASSPORT COVER,1,2011-03-13 14:29:00,2.1,14606,United Kingdom,2.1
546427,21260,FIRST AID TIN,1,2011-03-13 14:29:00,3.25,14606,United Kingdom,3.25
546429,22189,CREAM HEART CARD HOLDER,1,2011-03-13 15:25:00,3.95,17611,United Kingdom,3.95
546432,84968E,SET OF 16 VINTAGE BLACK CUTLERY,2,2011-03-14 08:21:00,12.75,14180,United Kingdom,25.5
546437,23194,GYMKHANNA TREASURE BOOK BOX,8,2011-03-14 09:46:00,2.08,16807,United Kingdom,16.64
546438,84879,ASSORTED COLOUR BIRD ORNAMENT,160,2011-03-14 09:59:00,1.45,15125,United Kingdom,232.0
546465,22247,BUNNY DECORATION MAGIC GARDEN,6,2011-03-14 10:57:00,0.85,14395,United Kingdom,5.1
546466,21623,VINTAGE UNION JACK MEMOBOARD,1,2011-03-14 11:04:00,9.95,18118,United Kingdom,9.95
546498,72351B,SET/6 PINK  BUTTERFLY T-LIGHTS,3,2011-03-14 11:44:00,2.1,15493,United Kingdom,6.300000000000001
546502,22517,CHILDS GARDEN RAKE PINK,1,2011-03-14 11:46:00,2.1,16005,United Kingdom,2.1
546502,22429,ENAMEL MEASURING JUG CREAM,1,2011-03-14 11:46:00,4.25,16005,United Kingdom,4.25
546502,84596B,SMALL DOLLY MIX DESIGN ORANGE BOWL,1,2011-03-14 11:46:00,0.42,16005,United Kingdom,0.42
546509,21535,RED RETROSPOT SMALL MILK JUG,6,2011-03-14 12:15:00,2.55,14911,EIRE,15.3
546524,22501,PICNIC BASKET WICKER LARGE,1,2011-03-14 12:51:00,9.95,17811,United Kingdom,9.95
546524,22148,EASTER CRAFT 4 CHICKS ,5,2011-03-14 12:51:00,1.95,17811,United Kingdom,9.75
546528,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,96,2011-03-14 13:04:00,0.72,15311,United Kingdom,69.12
546528,21169,YOU'RE CONFUSING ME METAL SIGN ,1,2011-03-14 13:04:00,1.69,15311,United Kingdom,1.69
546528,85232A,SET/3 POLKADOT STACKING TINS,1,2011-03-14 13:04:00,4.95,15311,United Kingdom,4.95
546530,22358,KINGS CHOICE TEA CADDY ,48,2011-03-14 13:25:00,2.95,17404,Sweden,141.60000000000002
546531,22021,BLUE FELT EASTER EGG BASKET,12,2011-03-14 13:35:00,1.65,15738,United Kingdom,19.8
546531,85206A,CREAM FELT EASTER EGG BASKET,12,2011-03-14 13:35:00,1.65,15738,United Kingdom,19.8
546534,21430,SET/3 RED GINGHAM ROSE STORAGE BOX,4,2011-03-14 13:56:00,3.75,16150,United Kingdom,15.0
546534,21136,PAINTED METAL PEARS ASSORTED,8,2011-03-14 13:56:00,1.69,16150,United Kingdom,13.52
546542,22907,PACK OF 20 NAPKINS PANTRY DESIGN,3,2011-03-14 15:13:00,0.85,13263,United Kingdom,2.55
546542,21455,PAINTED YELLOW WOODEN DAISY,2,2011-03-14 15:13:00,0.85,13263,United Kingdom,1.7
546542,85231B,CINAMMON SET OF 9 T-LIGHTS,3,2011-03-14 15:13:00,0.85,13263,United Kingdom,2.55
546542,22666,RECIPE BOX PANTRY YELLOW DESIGN,2,2011-03-14 15:13:00,2.95,13263,United Kingdom,5.9
546542,22672,FRENCH BATHROOM SIGN BLUE METAL,1,2011-03-14 15:13:00,1.65,13263,United Kingdom,1.65
546543,84849B,FAIRY SOAP SOAP HOLDER,1,2011-03-14 15:40:00,1.69,17841,United Kingdom,1.69
546544,23054,RECYCLED ACAPULCO MAT LAVENDER,2,2011-03-14 15:41:00,8.25,16570,United Kingdom,16.5
546545,22697,GREEN REGENCY TEACUP AND SAUCER,2,2011-03-14 15:48:00,2.95,16804,United Kingdom,5.9
546549,84375,SET OF 20 KIDS COOKIE CUTTERS,2,2011-03-14 16:46:00,2.1,17799,United Kingdom,4.2
546555,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,3,2011-03-15 09:22:00,4.95,17675,United Kingdom,14.85
546556,47566B,TEA TIME PARTY BUNTING,4,2011-03-15 09:32:00,4.95,16156,United Kingdom,19.8
546561,47590A,BLUE HAPPY BIRTHDAY BUNTING,3,2011-03-15 10:34:00,5.45,18260,United Kingdom,16.35
546562,22698,PINK REGENCY TEACUP AND SAUCER,6,2011-03-15 10:45:00,2.95,16293,United Kingdom,17.700000000000003
546622,20752,BLUE POLKADOT WASHING UP GLOVES,1,2011-03-15 11:30:00,2.1,17954,United Kingdom,2.1
546624,21156,RETROSPOT CHILDRENS APRON,8,2011-03-15 11:38:00,1.95,14193,United Kingdom,15.6
546625,22968,ROSE COTTAGE KEEPSAKE BOX ,1,2011-03-15 11:45:00,9.95,17542,United Kingdom,9.95
546635,22077,6 RIBBONS RUSTIC CHARM,3,2011-03-15 12:11:00,1.65,16392,United Kingdom,4.949999999999999
546636,22936,BAKING MOULD ROSE WHITE CHOCOLATE,1,2011-03-15 12:19:00,3.25,14534,United Kingdom,3.25
546637,21363,HOME SMALL WOOD LETTERS,6,2011-03-15 12:37:00,4.95,13854,United Kingdom,29.700000000000003
546638,85016,SET OF 6 VINTAGE NOTELETS KIT,6,2011-03-15 12:52:00,2.55,15106,United Kingdom,15.3
546638,23049,RECYCLED ACAPULCO MAT RED,2,2011-03-15 12:52:00,8.25,15106,United Kingdom,16.5
546639,21122,SET/10 PINK POLKADOT PARTY CANDLES,24,2011-03-15 12:54:00,1.25,13971,United Kingdom,30.0
546639,22722,SET OF 6 SPICE TINS PANTRY DESIGN,4,2011-03-15 12:54:00,3.95,13971,United Kingdom,15.8
546639,22808,SET OF 6 T-LIGHTS EASTER CHICKS,6,2011-03-15 12:54:00,2.95,13971,United Kingdom,17.700000000000003
546643,21210,SET OF 72 RETROSPOT PAPER  DOILIES,12,2011-03-15 13:23:00,1.45,16214,United Kingdom,17.4
546643,22697,GREEN REGENCY TEACUP AND SAUCER,6,2011-03-15 13:23:00,2.95,16214,United Kingdom,17.700000000000003
546643,22386,JUMBO BAG PINK POLKADOT,10,2011-03-15 13:23:00,1.95,16214,United Kingdom,19.5
